Date,entireTweets,
2020-04-17 16:37:16,"Para vos cyberpatrullaje: ""La deuda es un saqueo"". Preocúpate mejor por esta apropiación ilícita.",
2020-04-17 16:37:09,"@fer_A_H Ah no! Fer! Acostumbrate! Y ojo con lo que decís, pq si Frederic escucha algo como ""te saqueo la tanga"" te lleva en cana. #SecsoVirtualPeroncho",
2020-04-17 16:32:16,@FedeClossFotos No creo que sean tan boludos de propiciar un saqueo porque sabemos perfectamente que si sale esa normativa explota todo,
2020-04-17 16:11:08,RT @pincha69: @gutierrezgerman El saqueo de tus ojos.,
2020-04-17 16:10:27,@gutierrezgerman El saqueo de tus ojos.,
2020-04-17 16:04:57,"Le hicieron una causa penal a un pibe por twittear saqueo, te podes esperar cualquier cosa de este pais, que mal estamos",
2020-04-17 15:57:37,Utilizá la palabra saqueo en un titulo de películaPor ej:   Saqueo de sabado por la noche https://t.co/iXwZMSg403 https://t.co/nhizMZTFcH,
2020-04-17 15:53:02,@edufeiok @AmelieGranata saqueo!!!,
2020-04-17 15:31:12,"@shooLion21 Tal cual, un daño irreparable y devastador como siempre han hecho! Desidia, destrucción, saqueo, delincuencia, corrupción, etc, etc, etc....",
2020-04-17 15:21:15,RT @soyjuanandres: @DanielRaisbeck Necesidad de Estado?? jajajaAislamiento e Impuestos para continuar y perpetuar el saqueo...Ineficienci…,
2020-04-17 14:21:26,"RT @PortaluppiPablo: #saqueo a la Justicia,. Sigue el show de domiciliarias. En Mar del Plata el Juez Inchausti se la concedió a un lider n…",
2020-04-17 14:05:07,"@capcentral Sindicalistas HDP, se cagan en la gente.!! Ahh.! Pero escribis #Saqueo y te cae un fiscal a meterte preso.!",
2020-04-17 14:04:29,"RT @niungradomenos: Esto es la represora de pato bulri....Cómo, no es....No, es...No, no @SabinaFrederic no puede hacernos esto. Somos p…",
2020-04-17 13:06:39,RT @monitatutti: @SergioFDoormann Me importa un comino lo que digan!! A mí me parece un saqueo de la libertad.despues de haber luchado ti…,
2020-04-17 12:51:15,Estaba componiendo una canción que hablaba del SAQUEÓ del amor... Pero lo voy a cambiar no vaya a ser que termine preso... #CiberpatrullameLaChota,
2020-04-17 12:43:06,"@SergioFDoormann Me importa un comino lo que digan!! A mí me parece un saqueo de la libertad.despues de haber luchado ti vida , no te pueden imponer lo que tenés que hacer, en todo caso , como vas a morir. No pueden!!",
2020-04-17 12:29:05,@Sandra79175387 @marioraulnegri Disculpe pero le recuerdo que hasta que llegó el esposo de la señora que ud. Tiene en su bio ARgentina era un país rico. A partir de allí y con casi 50 años de gobierno de su partido así estamos. Quien fue el que más saqueó a la argentina?,
2020-04-17 12:19:30,"@EugeFlower0 @pauchinpum @camilanesas La intendencia es de Cambiemos, tanto clarín y Nazión, perfil hablaron de saqueo. Quisieron establecer el caos, ese es el accionar de la oposición hoy, aunque quedó sofocado. Los más vivos adhieren a las medidas del gobierno y los tomados por el odio partidista apuestan al caos.",
2020-04-17 12:01:21,"@tunykollmann @casper_sl Voy... Larreta es tan o más culpable del saqueo y cuasi genocidio macrista, que el mismísimo Macri y el resto de sus secuases.Es una pena ver que una pauta vale más que la dignidad",
2020-04-17 11:45:39,RT @2303guille: No los vi preocupados por los 12 años de SAQUEO al estado.,
2020-04-17 10:39:11,"El hambre, la guerra, la escasez, la carestía, la pobreza, la mortandad, el saqueo, la avaricia; son los aplastamientos de los pobres, los sufrimientos de las ciudades....#Coronavirus #CoronavirusEnArgentina #Pandemia https://t.co/jWrqQ6o2wU",
2020-04-17 10:21:39,"Si el @gobdecordoba avala no pagar deuda, que no reclame el pago de impuestos hasta el 2023.Que consecuencias tiene ser complice del #saqueo ?#DespiertaArgentina#ElPeorGobiernoDeLaHistoria https://t.co/vScKjuLg2a",
2020-04-17 10:17:14,"RT @ferenico: La Peste"" del ""dinero-virus""  es la negación a pena-muerte de la alegría-Vida, de la riqueza de Tod☀️s.  Es el endeudamiento-…",
